room_id,room_number,room_type,floor_number,bed_capacity,department_id,status
RMN-100716,239,Standard,2,2,DEP-018,Occupied
RMN-103980,372,Standard,2,2,DEP-020,Occupied
RMN-104345,376,Recovery,2,2,DEP-020,Occupied
RMN-105730,115,ER,3,2,DEP-007,Occupied
RMN-106957,687,ICU,4,1,DEP-005,Available
RMN-108359,500,Standard,6,2,DEP-016,Available
RMN-109722,246,ICU,3,1,DEP-007,Occupied
RMN-113058,454,Isolation,5,1,DEP-008,Maintenance
RMN-113498,180,Isolation,6,1,DEP-016,Occupied
RMN-118512,390,ICU,5,1,DEP-009,Occupied
RMN-118764,295,Standard,3,2,DEP-014,Available
RMN-123285,382,Standard,3,2,DEP-003,Available
RMN-124866,588,OR,6,1,DEP-013,Available
RMN-126574,302,Private,6,1,DEP-013,Available
RMN-126897,914,ICU,6,1,DEP-013,Occupied
RMN-128931,133,Standard,3,2,DEP-007,Available
RMN-129004,340,OR,3,1,DEP-014,Maintenance
RMN-133119,636,Private,1,1,DEP-001,Available
RMN-134057,773,NICU,6,1,DEP-013,Available
RMN-134487,251,Standard,4,2,DEP-017,Available
RMN-135989,884,Standard,5,2,DEP-008,Available
RMN-138230,476,OR,6,1,DEP-016,Available
RMN-138777,226,OR,5,1,DEP-008,Occupied
RMN-141746,304,Standard,4,2,DEP-005,Occupied
RMN-143365,311,OR,6,1,DEP-016,Available
RMN-148120,960,Standard,2,2,DEP-004,Occupied
RMN-155114,471,ICU,5,1,DEP-008,Occupied
RMN-157980,561,ICU,3,1,DEP-003,Occupied
RMN-158268,990,ICU,3,1,DEP-014,Occupied
RMN-159508,473,Standard,3,2,DEP-007,Occupied
RMN-159875,490,ICU,1,1,DEP-012,Occupied
RMN-162954,345,Standard,4,2,DEP-015,Maintenance
RMN-163351,350,ICU,4,1,DEP-015,Maintenance
RMN-164335,312,Standard,3,2,DEP-011,Occupied
RMN-165737,403,NICU,3,1,DEP-014,Maintenance
RMN-166377,724,ICU,4,1,DEP-017,Occupied
RMN-168052,720,Private,2,1,DEP-004,Available
RMN-169134,678,Standard,6,2,DEP-016,Available
RMN-169485,175,ICU,3,1,DEP-007,Occupied
RMN-171408,944,Recovery,2,2,DEP-020,Available
RMN-172054,937,Standard,3,2,DEP-014,Occupied
RMN-172947,727,ICU,1,1,DEP-001,Available
RMN-174116,434,Private,3,1,DEP-011,Occupied
RMN-174735,642,Standard,2,2,DEP-020,Available
RMN-178808,674,Private,6,1,DEP-010,Available
RMN-179163,435,Standard,2,2,DEP-002,Occupied
RMN-183591,902,ICU,4,1,DEP-005,Occupied
RMN-186145,631,ER,2,2,DEP-020,Occupied
RMN-188554,209,ER,3,2,DEP-007,Available
RMN-189223,995,Standard,5,2,DEP-009,Occupied
RMN-189935,138,Standard,4,2,DEP-006,Available
RMN-192689,501,Standard,2,2,DEP-018,Occupied
RMN-192890,751,ICU,3,1,DEP-014,Occupied
RMN-198325,224,Standard,2,2,DEP-004,Occupied
RMN-198880,540,Standard,1,2,DEP-019,Occupied
RMN-199947,502,Private,5,1,DEP-009,Available
RMN-200201,324,ICU,5,1,DEP-008,Available
RMN-201325,844,ICU,3,1,DEP-014,Available
RMN-202173,915,NICU,2,1,DEP-004,Available
RMN-202537,479,Standard,1,2,DEP-012,Available
RMN-207110,980,ICU,6,1,DEP-010,Maintenance
RMN-215696,511,Recovery,5,2,DEP-008,Available
RMN-216981,332,ICU,6,1,DEP-013,Available
RMN-224537,785,Standard,2,2,DEP-002,Occupied
RMN-226906,880,ER,1,2,DEP-001,Available
RMN-229524,648,Standard,6,2,DEP-010,Occupied
RMN-232226,826,ICU,4,1,DEP-005,Occupied
RMN-233474,802,OR,1,1,DEP-001,Available
RMN-236340,950,Standard,3,2,DEP-014,Occupied
RMN-237058,708,Standard,1,2,DEP-019,Available
RMN-238812,745,Standard,1,2,DEP-012,Available
RMN-239211,139,NICU,2,1,DEP-004,Occupied
RMN-239692,559,Standard,6,2,DEP-013,Occupied
RMN-240320,260,Isolation,3,1,DEP-003,Available
RMN-243737,635,Private,2,1,DEP-018,Occupied
RMN-243773,897,Standard,4,2,DEP-006,Available
RMN-244658,227,ICU,5,1,DEP-009,Occupied
RMN-245992,834,Private,5,1,DEP-008,Available
RMN-248280,706,Standard,3,2,DEP-003,Available
RMN-252190,709,Standard,1,2,DEP-019,Available
RMN-253078,354,Private,2,1,DEP-018,Occupied
RMN-253083,105,Standard,2,2,DEP-018,Available
RMN-254911,622,Standard,3,2,DEP-003,Available
RMN-259064,637,Standard,5,2,DEP-008,Occupied
RMN-262982,145,Private,2,1,DEP-018,Available
RMN-268776,245,Private,1,1,DEP-001,Available
RMN-270603,538,Private,2,1,DEP-020,Available
RMN-271872,437,Standard,1,2,DEP-001,Occupied
RMN-273374,232,NICU,1,1,DEP-019,Available
RMN-273783,777,Private,2,1,DEP-004,Occupied
RMN-274289,292,ER,2,2,DEP-020,Available
RMN-274444,106,Private,2,1,DEP-018,Available
RMN-274638,402,Private,6,1,DEP-016,Occupied
RMN-279842,981,Standard,2,2,DEP-002,Available
RMN-281271,769,Standard,1,2,DEP-012,Occupied
