shift_id,staff_id,staff_type,department_id,shift_date,shift_type,hours_worked
SHF-100048,EMP-469131,Employee,DEP-009,2023-01-03,Morning,8.0
SHF-100061,EMP-898721,Employee,DEP-005,2026-06-07,Morning,8.0
SHF-100088,NUR-432898,Nurse,DEP-020,2023-06-28,Morning,10.0
SHF-100108,NUR-249027,Nurse,DEP-016,2023-02-23,Afternoon,12.0
SHF-100115,EMP-818999,Employee,DEP-008,2025-11-04,Afternoon,8.0
SHF-100181,NUR-591469,Nurse,DEP-004,2026-06-06,Morning,8.0
SHF-100206,NUR-663994,Nurse,DEP-005,2024-02-04,Night,12.0
SHF-100213,EMP-640663,Employee,DEP-007,2025-08-06,Night,8.0
SHF-100231,DOC-376578,Doctor,DEP-005,2023-04-25,Night,8.0
SHF-100353,NUR-249027,Nurse,DEP-009,2024-05-14,Night,10.0
SHF-100361,NUR-284426,Nurse,DEP-001,2023-02-09,Morning,10.0
SHF-100365,DOC-442820,Doctor,DEP-003,2025-05-03,Night,12.0
SHF-100437,DOC-258599,Doctor,DEP-002,2023-08-09,Morning,8.0
SHF-100441,DOC-281201,Doctor,DEP-015,2023-03-25,Night,8.0
SHF-100444,DOC-304537,Doctor,DEP-001,2026-04-13,Morning,8.0
SHF-100496,NUR-354587,Nurse,DEP-001,2025-11-04,Afternoon,8.0
SHF-100532,DOC-428418,Doctor,DEP-003,2023-09-04,Afternoon,8.0
SHF-100586,NUR-788307,Nurse,DEP-011,2023-02-08,Afternoon,10.0
SHF-100630,NUR-294174,Nurse,DEP-008,2025-05-28,Night,8.0
SHF-100651,EMP-201160,Employee,DEP-003,2023-10-27,Night,10.0
SHF-100676,NUR-776766,Nurse,DEP-017,2026-01-26,Afternoon,8.0
SHF-100695,NUR-157415,Nurse,DEP-011,2023-11-30,Night,12.0
SHF-100719,NUR-205303,Nurse,DEP-018,2026-04-03,Morning,12.0
SHF-100740,NUR-985610,Nurse,DEP-004,2026-01-27,Afternoon,12.0
SHF-100749,DOC-705984,Doctor,DEP-013,2026-07-02,Afternoon,10.0
SHF-100837,EMP-863399,Employee,DEP-018,2025-06-16,Night,8.0
SHF-100841,NUR-668055,Nurse,DEP-015,2024-11-27,Afternoon,8.0
SHF-100867,NUR-814942,Nurse,DEP-015,2025-02-19,Night,12.0
SHF-100914,NUR-189674,Nurse,DEP-001,2024-11-24,Night,12.0
SHF-100917,EMP-189581,Employee,DEP-018,2025-06-21,Night,12.0
SHF-100926,DOC-113771,Doctor,DEP-002,2026-03-20,Night,8.0
SHF-100928,EMP-798147,Employee,DEP-018,2024-11-05,Night,12.0
SHF-100967,EMP-660086,Employee,DEP-010,2024-11-28,Afternoon,8.0
SHF-100975,NUR-661818,Nurse,DEP-007,2024-12-22,Morning,12.0
